medium	description	compound	name
H10_defined_medium_cellulose_2	Defined medium	na1	Sodium
H10_defined_medium_cellulose_2	Defined medium	k	Potassium
H10_defined_medium_cellulose_2	Defined medium	pi	Phosphate
H10_defined_medium_cellulose_2	Defined medium	nh4	Ammonium
H10_defined_medium_cellulose_2	Defined medium	cl	Cloride
H10_defined_medium_cellulose_2	Defined medium	mg2	Magnesium
H10_defined_medium_cellulose_2	Defined medium	ca2	calsium
H10_defined_medium_cellulose_2	Alkaline trace element solution	slnt	Selenite
H10_defined_medium_cellulose_2	Alkaline trace element solution	tungs	Tungstate
H10_defined_medium_cellulose_2	Alkaline trace element solution	mobd	Molybdate
H10_defined_medium_cellulose_2	Vitamins solution	btn	Biotin
H10_defined_medium_cellulose_2	Vitamins solution	nac	Nicotinate
H10_defined_medium_cellulose_2	Vitamins solution	pydx	Pyridoxin
H10_defined_medium_cellulose_2	Vitamins solution	ribflv	Riboflavin
H10_defined_medium_cellulose_2	Vitamins solution	thm	Thiamin
H10_defined_medium_cellulose_2	Vitamins solution	cbl1	Cobalamin
H10_defined_medium_cellulose_2	Vitamins solution	4abz	4-aminobenzoate
H10_defined_medium_cellulose_2	Vitamins solution	pnto__R	Pantothenate
H10_defined_medium_cellulose_2	Cellulose composition	glc__D	Glucose_D
H10_defined_medium_cellulose_2	Cellulose composition	cellb	Cellobiose
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	fe2	Fe2+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	fe3	Fe3+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	h2o	H2O
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	h	H+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	mn2	Mn2+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	ni2	Ni2+
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	so4	Sulfate
H10_defined_medium_cellulose_2	M9 minimal medium (anaerobic)	zn2	Zn2+
H10_minimal_xylose	Basic medium	cys__L	Cysteine
H10_minimal_xylose	Mineral solution	nh4	Ammonium
H10_minimal_xylose	Mineral solution	so4	Sulfate
H10_minimal_xylose	Vitamins solution	btn	Biotin
H10_minimal_xylose	Vitamins solution	4abz	4-aminobenzoate
H10_minimal_xylose	Vitamins solution	nac	Nicotinate
H10_minimal_xylose	Vitamins solution	ribflv	Riboflavin
H10_minimal_xylose	Oligoelemnts solution	no3	Nitrate
H10_minimal_xylose	Oligoelemnts solution	slnt	Selenite
H10_minimal_xylose	Sugar addition	xyl__D	Xylose_D
H10_minimal_xylose	M9 minimal medium (anaerobic)	ca2	Ca2+
H10_minimal_xylose	M9 minimal medium (anaerobic)	cl	Cl-
H10_minimal_xylose	M9 minimal medium (anaerobic)	cobalt2	Co2+
H10_minimal_xylose	M9 minimal medium (anaerobic)	cu2	Cu2+
H10_minimal_xylose	M9 minimal medium (anaerobic)	fe2	Fe2+
