medium	description	compound	name
DM_cellulose_2	Defined medium	na1	Sodium
DM_cellulose_2	Defined medium	k	Potassium
DM_cellulose_2	Defined medium	pi	Phosphate
DM_cellulose_2	Defined medium	nh4	Ammonium
DM_cellulose_2	Defined medium	cl	Cloride
DM_cellulose_2	Defined medium	mg2	Magnesium
DM_cellulose_2	Defined medium	ca2	calsium
DM_cellulose_2	Alkaline trace element solution	slnt	Selenite
DM_cellulose_2	Alkaline trace element solution	tungs	Tungstate
DM_cellulose_2	Alkaline trace element solution	mobd	Molybdate
DM_cellulose_2	Vitamins solution	btn	Biotin
DM_cellulose_2	Vitamins solution	nac	Nicotinate
DM_cellulose_2	Vitamins solution	pydx	Pyridoxin
DM_cellulose_2	Vitamins solution	ribflv	Riboflavin
DM_cellulose_2	Vitamins solution	thm	Thiamin
DM_cellulose_2	Vitamins solution	cbl1	Cobalamin
DM_cellulose_2	Vitamins solution	4abz	4-aminobenzoate
DM_cellulose_2	Vitamins solution	pnto__R	Pantothenate
DM_cellulose_2	Cellulose composition	glc__D	Glucose_D
DM_cellulose_2	Cellulose composition	cellb	Cellobiose
DM_cellulose_2	M9 minimal medium (anaerobic)	cobalt2	Co2+
DM_cellulose_2	M9 minimal medium (anaerobic)	cu2	Cu2+
DM_cellulose_2	M9 minimal medium (anaerobic)	fe2	Fe2+
DM_cellulose_2	M9 minimal medium (anaerobic)	fe3	Fe3+
DM_cellulose_2	M9 minimal medium (anaerobic)	h2o	H2O
DM_cellulose_2	M9 minimal medium (anaerobic)	h	H+
DM_cellulose_2	M9 minimal medium (anaerobic)	mn2	Mn2+
DM_cellulose_2	M9 minimal medium (anaerobic)	ni2	Ni2+
DM_cellulose_2	M9 minimal medium (anaerobic)	so4	Sulfate
DM_cellulose_2	M9 minimal medium (anaerobic)	zn2	Zn2+
MM_xylose	Mineral solution	nh4	Ammonium
MM_xylose	Mineral solution	so4	Sulfate
MM_xylose	Vitamins solution	btn	Biotin
MM_xylose	Vitamins solution	4abz	4-aminobenzoate
MM_xylose	Vitamins solution	nac	Nicotinate
