Entry	Gene Names	RefSeq
B8I0V9	rbsK Ccel_3225	
B8I1A9	Ccel_1353	WP_015924855.1;
B8I1T8	ilvC Ccel_3435	WP_015926775.1;
B8I259	rlmN Ccel_1533	WP_015925026.1;
B8I2N8	glyA Ccel_1680	WP_015925146.1;
B8I3K8	ribBA Ccel_2004	WP_015925455.1;
B8I410	argJ Ccel_2098	WP_015925544.1;
B8I4U5	tpiA pgk Ccel_2260	
B8I598	pyrG Ccel_0291	WP_012634743.1;
B8I6G9	murE Ccel_0479	WP_012634923.1;
B8I6U8	pfkA Ccel_2612	WP_015926027.1;
B8I773	carB Ccel_0616	WP_015924166.1;
B8I8A7	carA Ccel_2913	WP_015926274.1;
B8I8A8	carB Ccel_2914	WP_015926275.1;
B8I8C1	nnrD nnrE Ccel_2927	WP_015926288.1;
B8I944	Ccel_0941	WP_015924461.1;
P17901	celCCA Ccel_1099	WP_015924614.1;
P37699	celCCC Ccel_0730	WP_015924276.1;
B8HZV1	speH Ccel_1092	WP_015924607.1;
B8HZV7	metG Ccel_1098	WP_015924613.1;
B8HZX7	speA Ccel_1119	WP_015924633.1;
B8I004	uppP Ccel_1147	WP_015924659.1;
B8I058	prs Ccel_3092	WP_015926442.1;
B8I062	murC Ccel_3096	WP_015926446.1;
B8I085	cas9 Ccel_3120	WP_015926469.1;
B8I0G9	deoB Ccel_3205	WP_015926553.1;
B8I0I1	valS Ccel_1199	WP_015924708.1;
B8I0I2	nadE Ccel_1200	WP_015924709.1;
B8I0I6	glmM Ccel_1204	WP_015924713.1;
B8I0I7	glmS Ccel_1205	WP_015924714.1;
B8I0Q5	hemA Ccel_1274	WP_015924779.1;
B8I0Q8	hemC Ccel_1277	WP_015924782.1;
B8I0R1	hemL Ccel_1280	WP_015924785.1;
B8I0R4	cbiA Ccel_1283	
B8I0S0	mtnA Ccel_1289	WP_015924794.1;
B8I0T8	thyA Ccel_1309	WP_015924811.1;
B8I0X2	galK Ccel_3238	WP_015926586.1;
B8I164	metAA Ccel_3331	WP_015926672.1;
B8I170	dinB Ccel_1314	WP_015924816.1;
B8I179	obg Ccel_1323	WP_015924825.1;
B8I1A1	argG Ccel_1345	WP_015924847.1;
B8I1A2	ruvC Ccel_1346	WP_015924848.1;
B8I1A4	ruvB Ccel_1348	WP_015924850.1;
B8I1A5	queH Ccel_1349	WP_015924851.1;
B8I1A8	rph Ccel_1352	WP_015924854.1;
B8I1C6	Ccel_1370	WP_015924872.1;
B8I1C8	thrS Ccel_1372	WP_015924874.1;
B8I1C9	thrS Ccel_1373	WP_015924875.1;
B8I1G1	xpt Ccel_1405	WP_015924904.1;
B8I1G9	uvrB Ccel_1413	
B8I1I0	hcp Ccel_1424	WP_015924923.1;
B8I1L6	map Ccel_3362	WP_015926703.1;
B8I1M7	prmC Ccel_3373	WP_015926714.1;
B8I1N0	rho Ccel_3376	WP_015926717.1;
B8I1N4	deoD Ccel_3381	WP_015926721.1;
B8I1P2	murA Ccel_3389	WP_015926729.1;
B8I1T7	leuA Ccel_3434	WP_015926774.1;
B8I1U5	fcl Ccel_3442	WP_015926782.1;
B8I1X0	pheS Ccel_1442	WP_015924940.1;
B8I1X1	pheT Ccel_1443	WP_015924941.1;
B8I1X3	pgi Ccel_1445	WP_015924943.1;
B8I1Y5	secA Ccel_1457	WP_015924954.1;
B8I1Z8	mutS2 Ccel_1470	WP_015924966.1;
B8I1Z9	bipA Ccel_1471	
B8I200	mltG Ccel_1472	WP_015924968.1;
B8I253	priA Ccel_1527	WP_015925020.1;
B8I258	Ccel_1532	WP_015925025.1;
B8I262	rsgA Ccel_1536	WP_015925029.1;
B8I263	rpe Ccel_1537	WP_015925030.1;
B8I2A6	gyrA Ccel_3482	WP_015926821.1;
B8I2B0	mnmE trmE Ccel_3486	WP_015926825.1;
B8I2F7	mobA Ccel_1598	WP_015925066.1;
B8I2G3	moaA Ccel_1604	
B8I2H0	dapA Ccel_1611	WP_015925079.1;
B8I2H5	nifH Ccel_1616	
B8I2I1	leuC Ccel_1622	WP_015925090.1;
B8I2P1	thiI Ccel_1683	WP_015925149.1;
B8I2Q1	lexA Ccel_1693	WP_015925159.1;
B8I2Q3	miaA Ccel_1695	WP_015925161.1;
B8I2Q7	miaB Ccel_1699	WP_015925165.1;
B8I2R5	pnp Ccel_1707	WP_015925173.1;
B8I2T4	murD Ccel_1726	WP_015925192.1;
B8I2T6	ispH Ccel_1728	WP_015925194.1;
B8I2Y2	addA Ccel_1774	WP_015925240.1;
B8I2Y3	addB Ccel_1775	WP_015925241.1;
B8I2Z2	panD Ccel_1785	WP_015925250.1;
B8I2Z3	panC Ccel_1786	WP_015925251.1;
B8I2Z4	panB Ccel_1787	WP_015925252.1;
B8I2Z6	glyQS Ccel_1789	WP_015925254.1;
B8I304	dnaJ Ccel_1797	WP_015925262.1;
B8I359	aroB Ccel_1854	WP_015925307.1;
B8I360	ileS Ccel_1855	WP_015925308.1;
B8I363	pdxS Ccel_1858	WP_015925311.1;
B8I364	pdxT Ccel_1859	WP_015925312.1;
B8I377	cobB Ccel_1872	WP_015925325.1;
B8I382	Ccel_1877	
B8I385	coaD Ccel_1880	WP_015925333.1;
B8I392	nth Ccel_1887	WP_015925340.1;
B8I3A3	nadK Ccel_1898	WP_015925351.1;
B8I3A5	dxs Ccel_1900	WP_015925353.1;
B8I3C9	aroQ Ccel_1924	WP_015925376.1;
B8I3D5	mnmA Ccel_1930	WP_015925382.1;
B8I3D7	iscS Ccel_1932	WP_015925384.1;
B8I3E6	lepA Ccel_1941	WP_015925393.1;
B8I3F1	aspS Ccel_1946	WP_015925398.1;
B8I3F5	dtd Ccel_1950	WP_015925402.1;
B8I3I1	ligA Ccel_1976	WP_015925428.1;
B8I3I3	gpr Ccel_1978	WP_015925430.1;
B8I3J4	thiE Ccel_1989	WP_015925441.1;
B8I3J5	thiM Ccel_1990	WP_015925442.1;
B8I3J6	thiC Ccel_1991	WP_015925443.1;
B8I3L0	Ccel_2006	WP_015925457.1;
B8I3L1	dinB Ccel_2007	WP_015925458.1;
B8I3N1	cheB Ccel_2028	WP_015925476.1;
B8I3Q8	trmFO Ccel_2055	WP_015925503.1;
B8I3Q9	topA Ccel_2056	WP_015925504.1;
B8I3R7	gyrB Ccel_0006	WP_012634461.1;
B8I3W4	glgB Ccel_0053	WP_012634508.1;
B8I3X7	ftsZ Ccel_2064	WP_015925512.1;
B8I3Y1	murT Ccel_2069	WP_015925516.1;
B8I3Y2	gatD Ccel_2070	WP_015925517.1;
B8I3Z3	tyrS Ccel_2081	WP_015925528.1;
B8I408	alaS Ccel_2096	WP_015925542.1;
B8I431	uvrA Ccel_2119	WP_015925564.1;
B8I440	gpsA Ccel_2129	WP_015925573.1;
B8I441	plsY Ccel_2130	WP_015925574.1;
B8I447	ackA Ccel_2136	WP_015925578.1;
B8I450	gltX Ccel_2139	WP_015925581.1;
B8I477	ahcY Ccel_2168	WP_015925605.1;
B8I490	purH Ccel_2181	WP_015925618.1;
B8I491	purN Ccel_2182	WP_015925619.1;
B8I492	purM Ccel_2183	WP_015925620.1;
B8I493	purF Ccel_2184	WP_015925621.1;
B8I4B8	Ccel_0084	WP_012634538.1;
B8I4B9	ftsH Ccel_0085	WP_012634539.1;
B8I4C1	metK Ccel_0087	WP_012634541.1;
B8I4C3	recD2 Ccel_0089	WP_012634543.1;
B8I4G0	leuC Ccel_0126	WP_012634580.1;
B8I4G2	leuB Ccel_0128	WP_012634582.1;
B8I4G6	Ccel_0132	WP_012634586.1;
B8I4G8	birA Ccel_0134	WP_012634588.1;
B8I4H0	coaX Ccel_0136	WP_012634590.1;
B8I4H1	ldh Ccel_0137	WP_012634591.1;
B8I4K5	rsmA ksgA Ccel_0171	WP_012634624.1;
B8I4P0	guaA Ccel_2202	WP_015925637.1;
B8I4R1	pfp Ccel_2223	WP_015925658.1;
B8I4U1	eno Ccel_2254	WP_015925687.1;
B8I4U4	gpmI Ccel_2259	WP_015925690.1;
B8I4V4	secA Ccel_2271	WP_015925700.1;
B8I4V6	fabV Ccel_2273	WP_015925702.1;
B8I4W1	Ccel_2278	WP_015925707.1;
B8I4X4	murB Ccel_2291	
B8I4X6	hprK Ccel_2293	WP_015925722.1;
B8I4X7	hppA Ccel_2294	WP_015925723.1;
B8I519	pckG Ccel_0212	WP_012634664.1;
B8I567	upp Ccel_0260	WP_012634712.1;
B8I574	atpE Ccel_0267	WP_012634719.1;
B8I575	atpF Ccel_0268	WP_012634720.1;
B8I577	atpA Ccel_0270	
B8I579	atpD Ccel_0272	WP_012634724.1;
B8I587	murA Ccel_0280	WP_012634732.1;
B8I590	ddl Ccel_0283	WP_012634735.1;
B8I5A9	ilvD Ccel_0302	WP_012634754.1;
B8I5L3	purA Ccel_2419	WP_015925838.1;
B8I5M0	aroK Ccel_2426	WP_015925845.1;
B8I5M1	aroC Ccel_2427	WP_015925846.1;
B8I5M2	aroA Ccel_2428	WP_015925847.1;
B8I5N3	rpoC Ccel_0313	WP_012634765.1;
B8I5Q6	disA Ccel_0337	WP_012634788.1;
B8I5U0	aroK Ccel_0372	WP_012634820.1;
B8I5U1	Ccel_0373	WP_012634821.1;
B8I5V0	hisD Ccel_0382	WP_012634830.1;
B8I5V4	hisH Ccel_0386	WP_012634834.1;
B8I5V6	hisF Ccel_0388	WP_012634836.1;
B8I5V7	hisI hisIE Ccel_0389	WP_012634837.1;
B8I5W0	groEL groL Ccel_0392	WP_012634840.1;
B8I5W4	lysS Ccel_0396	WP_012634844.1;
B8I600	gatC Ccel_2435	WP_015925854.1;
B8I648	ldh Ccel_2485	WP_015925902.1;
B8I697	lysA Ccel_2534	WP_015925951.1;
B8I6D4	pyrH Ccel_0444	WP_012634888.1;
B8I6D8	Ccel_0448	WP_012634892.1;
B8I6D9	dxr Ccel_0449	WP_012634893.1;
B8I6E1	ispG Ccel_0451	WP_012634895.1;
B8I6G3	lgt Ccel_0473	WP_012634917.1;
B8I6H0	murF Ccel_0480	WP_012634924.1;
B8I6H1	mraY Ccel_0481	WP_012634925.1;
B8I6H2	Ccel_0482	WP_012634926.1;
B8I6H3	murG Ccel_0483	WP_012634927.1;
B8I6K9	dapB Ccel_0519	WP_015924074.1;
B8I6L5	dapB Ccel_0525	WP_015924080.1;
B8I6L6	dapA Ccel_0526	WP_015924081.1;
B8I6L8	Ccel_0528	WP_015924083.1;
B8I6M0	tgt Ccel_0530	WP_015924085.1;
B8I6N0	dnaG Ccel_0540	WP_015924094.1;
B8I6Q1	Ccel_2565	WP_015925980.1;
B8I6Q4	lon Ccel_2568	WP_015925983.1;
B8I6T1	glpK Ccel_2595	WP_015926010.1;
B8I6U9	psd Ccel_2613	WP_015926028.1;
B8I736	era Ccel_0579	WP_015924132.1;
B8I761	folD Ccel_0604	WP_015924154.1;
B8I766	lspA Ccel_0609	WP_015924159.1;
B8I769	pyrB Ccel_0612	WP_015924162.1;
B8I770	pyrC Ccel_0613	WP_015924163.1;
B8I772	carA Ccel_0615	WP_015924165.1;
B8I774	pyrK Ccel_0617	WP_015924167.1;
B8I775	pyrD Ccel_0618	WP_015924168.1;
B8I799	azoR Ccel_0642	WP_015924192.1;
B8I7A1	Ccel_0644	
B8I7A2	cobS Ccel_0645	WP_015924195.1;
B8I7B9	aroE Ccel_0663	WP_015924212.1;
B8I7D2	recA Ccel_0676	WP_015924225.1;
B8I7D4	rimO Ccel_0678	WP_015924227.1;
B8I7Q4	plsX Ccel_0681	
B8I7Q5	fabH Ccel_0682	WP_015924231.1;
B8I7R0	rnc Ccel_0687	WP_015924236.1;
B8I7R8	smc Ccel_0696	WP_015924243.1;
B8I7R9	ftsY Ccel_0697	WP_015924244.1;
B8I7T1	ffh Ccel_0709	WP_015924256.1;
B8I7T9	rnhB Ccel_0717	WP_015924263.1;
B8I7X0	hcp Ccel_0749	WP_015924294.1;
B8I800	adk Ccel_0779	WP_015924321.1;
B8I801	map Ccel_0780	WP_015924322.1;
B8I808	rpoA Ccel_0787	WP_015924327.1;
B8I814	truA Ccel_0793	WP_015924333.1;
B8I870	Ccel_2876	WP_015926238.1;
B8I8A4	argC Ccel_2910	WP_015926271.1;
B8I8A5	argB Ccel_2911	WP_015926272.1;
B8I8A6	argD Ccel_2912	WP_015926273.1;
B8I8C0	Ccel_2926	WP_015926287.1;
B8I8F4	tig Ccel_0809	WP_015924349.1;
B8I8F6	clpX Ccel_0811	WP_015924351.1;
B8I8F9	tsaD Ccel_0814	WP_015924354.1;
B8I8Q6	topB Ccel_0922	WP_015924446.1;
B8I941	accD Ccel_0935	WP_015924458.1;
B8I942	accA Ccel_0936	WP_015924459.1;
B8I9D0	deoC Ccel_1028	WP_015924546.1;
B8I9D3	glpK Ccel_1031	WP_015924549.1;
P25472	celCCD Ccel_0840	WP_015924376.1;
P37698	celCCF Ccel_0729	WP_015924275.1;
P37700	celCCG Ccel_0731	WP_015924277.1;
Q0PRN1	gal59A Ccel_1238	WP_015924743.1;
Q9L385	glgC Ccel_3401	WP_015926741.1;
A0A3Q8TLA7	cel48F	
B8HZS9	Ccel_1070	WP_015924585.1;
B8HZU3	Ccel_1084	WP_015924599.1;
B8HZV0	Ccel_1091	WP_015924606.1;
B8HZW0	Ccel_1101	WP_015924616.1;
B8HZX0	Ccel_1112	WP_015924626.1;
B8HZX5	Ccel_1117	WP_015924631.1;
B8HZZ7	Ccel_1140	WP_015924652.1;
B8I005	trmB Ccel_1148	WP_015924660.1;
B8I006	Ccel_1149	WP_015924661.1;
B8I010	Ccel_1153	WP_015924665.1;
B8I014	Ccel_1157	WP_015924669.1;
B8I015	Ccel_1158	WP_015924670.1;
B8I021	Ccel_1164	WP_015924674.1;
B8I036	Ccel_1179	WP_015924689.1;
B8I056	mfd Ccel_3090	WP_015926440.1;
B8I057	pth Ccel_3091	WP_015926441.1;
B8I063	fabZ Ccel_3097	WP_015926447.1;
B8I068	mreB Ccel_3102	WP_015926452.1;
B8I083	cas2 Ccel_3118	
B8I084	cas1 Ccel_3119	WP_015926468.1;
B8I0B7	Ccel_3152	
B8I0E7	Ccel_3183	WP_015926531.1;
B8I0F0	Ccel_3186	WP_015926534.1;
B8I0G2	Ccel_3198	WP_015926546.1;
B8I0H1	Ccel_1189	WP_015924699.1;
B8I0I3	dacA Ccel_1201	
B8I0I9	Ccel_1207	WP_015924716.1;
B8I0K0	Ccel_1218	WP_015924725.1;
B8I0K2	Ccel_1221	WP_015924726.1;
B8I0K8	Ccel_1227	WP_015924732.1;
B8I0K9	Ccel_1228	WP_015924733.1;
B8I0L0	Ccel_1229	
B8I0L1	Ccel_1230	WP_015924735.1;
B8I0L2	Ccel_1231	WP_015924736.1;
B8I0L3	Ccel_1232	WP_015924737.1;
B8I0L4	Ccel_1233	WP_015924738.1;
B8I0L5	Ccel_1234	WP_015924739.1;
B8I0L6	Ccel_1235	WP_015924740.1;
B8I0L8	Ccel_1237	WP_015924742.1;
B8I0M0	Ccel_1239	WP_015924744.1;
B8I0M1	Ccel_1240	WP_015924745.1;
B8I0M2	Ccel_1241	WP_015924746.1;
B8I0M3	Ccel_1242	WP_015924747.1;
B8I0M7	Ccel_1246	WP_015924751.1;
B8I0N0	Ccel_1249	WP_015924754.1;
B8I0N6	Ccel_1255	WP_015924760.1;
B8I0P6	Ccel_1265	WP_015924770.1;
B8I0P7	cbiM Ccel_1266	WP_015924771.1;
B8I0P8	cbiN Ccel_1267	WP_015924772.1;
B8I0Q0	Ccel_1269	WP_015924774.1;
B8I0Q1	cbiD Ccel_1270	WP_015924775.1;
B8I0Q7	Ccel_1276	
B8I0Q9	Ccel_1278	WP_015924783.1;
B8I0R0	Ccel_1279	WP_015924784.1;
B8I0R5	cobQ Ccel_1284	WP_015924789.1;
B8I0R7	cobD Ccel_1286	WP_015924791.1;
B8I0S8	Ccel_1298	WP_015924801.1;
B8I0T9	Ccel_1310	WP_015924812.1;
B8I0U0	infC Ccel_1311	WP_015924813.1;
B8I0U1	Ccel_3207	
B8I0U7	trpE Ccel_3213	WP_015926561.1;
B8I0U9	trpD Ccel_3215	WP_015926563.1;
B8I0V0	trpC Ccel_3216	WP_015926564.1;
B8I0V1	trpF Ccel_3217	WP_015926565.1;
B8I0V2	trpB Ccel_3218	WP_015926566.1;
B8I0V3	trpA Ccel_3219	WP_015926567.1;
B8I0V5	Ccel_3221	WP_015926569.1;
B8I0X1	Ccel_3237	WP_015926585.1;
B8I0X3	Ccel_3240	WP_015926587.1;
B8I0X5	Ccel_3242	WP_015926589.1;
B8I0Z8	Ccel_3265	WP_015926612.1;
B8I154	mrnC Ccel_3321	WP_015926662.1;
B8I155	Ccel_3322	WP_015926663.1;
B8I157	cysS Ccel_3324	WP_015926665.1;
B8I158	Ccel_3325	WP_015926666.1;
B8I162	Ccel_3329	WP_015926670.1;
B8I167	Ccel_3334	WP_015926675.1;
B8I168	rpmI Ccel_1312	WP_015924814.1;
B8I169	rplT Ccel_1313	WP_015924815.1;
B8I175	Ccel_1319	WP_015924821.1;
B8I176	rplU Ccel_1320	WP_015924822.1;
B8I178	rpmA Ccel_1322	WP_015924824.1;
B8I184	folE Ccel_1328	WP_015924830.1;
B8I186	Ccel_1330	WP_015924832.1;
B8I187	Ccel_1331	WP_015924833.1;
B8I188	Ccel_1332	WP_015924834.1;
B8I190	glgA Ccel_1334	WP_015924836.1;
B8I1A0	argH Ccel_1344	WP_015924846.1;
B8I1A3	ruvA Ccel_1347	WP_015924849.1;
B8I1B4	Ccel_1358	WP_015924860.1;
B8I1B9	nadD Ccel_1363	
B8I1C2	rsfS Ccel_1366	WP_015924868.1;
B8I1E5	Ccel_1389	WP_015924889.1;
B8I1E7	mgsA Ccel_1391	WP_015924891.1;
B8I1F4	Ccel_1398	WP_015924898.1;
B8I1F8	Ccel_1402	WP_015924901.1;
B8I1G7	trpS Ccel_1411	WP_015924910.1;
B8I1G8	mntP Ccel_1412	WP_015924911.1;
B8I1H3	Ccel_1417	WP_015924916.1;
B8I1I1	mscL Ccel_1425	WP_015924924.1;
B8I1I7	Ccel_1431	WP_015924930.1;
B8I1L9	hypA Ccel_3365	WP_015926706.1;
B8I1M9	rpmE Ccel_3375	WP_015926716.1;
B8I1N7	arcA Ccel_3384	WP_015926724.1;
B8I1P0	rlmH Ccel_3387	WP_015926727.1;
B8I1P6	Ccel_3393	WP_015926733.1;
B8I1P7	Ccel_3394	WP_015926734.1;
B8I1Q5	murI Ccel_3402	WP_015926742.1;
B8I1R0	Ccel_3407	WP_015926747.1;
B8I1R1	Ccel_3408	WP_015926748.1;
B8I1R3	Ccel_3410	WP_015926750.1;
B8I1R8	Ccel_3415	WP_015926755.1;
B8I1S6	Ccel_3423	WP_015926763.1;
B8I1S9	Ccel_3426	WP_015926766.1;
B8I1T2	xylA Ccel_3429	WP_015926769.1;
B8I1T4	xylB Ccel_3431	WP_015926771.1;
B8I1T6	Ccel_3433	WP_015926773.1;
B8I1T9	Ccel_3436	WP_015926776.1;
B8I1U0	Ccel_3437	WP_015926777.1;
B8I1U3	tadA Ccel_3440	WP_015926780.1;
B8I1U4	gmd Ccel_3441	WP_015926781.1;
B8I1V7	leuS Ccel_3454	WP_015926794.1;
B8I1W0	Ccel_3457	
B8I1W2	prfC Ccel_1434	WP_015924932.1;
B8I1X5	Ccel_1447	WP_015924945.1;
B8I1Y0	Ccel_1452	WP_015924950.1;
B8I1Y7	Ccel_1459	WP_015924956.1;
B8I1Y8	Ccel_1460	WP_004617461.1;
B8I1Z1	Ccel_1463	WP_015924959.1;
B8I201	trmR Ccel_1473	WP_015924969.1;
B8I205	Ccel_1477	WP_015924973.1;
B8I208	Ccel_1481	WP_015924975.1;
B8I209	cas1 Ccel_1482	WP_015924976.1;
B8I210	cas2 Ccel_1483	WP_015924977.1;
B8I249	Ccel_1523	WP_015925016.1;
B8I254	def Ccel_1528	WP_015925021.1;
B8I255	fmt Ccel_1529	WP_015925022.1;
B8I261	Ccel_1535	WP_015925028.1;
B8I271	Ccel_1545	WP_015925037.1;
B8I272	Ccel_1546	WP_015925038.1;
B8I276	Ccel_1550	WP_015925042.1;
B8I277	Ccel_1551	WP_015925043.1;
B8I285	Ccel_3460	WP_015926800.1;
B8I292	Ccel_3467	WP_015926807.1;
B8I299	Ccel_3474	WP_015926814.1;
B8I2A3	Ccel_3478	WP_015926818.1;
B8I2A4	Ccel_3479	WP_015926819.1;
B8I2A5	nadA Ccel_3480	WP_015926820.1;
B8I2A8	rsmG Ccel_3484	WP_015926823.1;
B8I2A9	mnmG gidA Ccel_3485	WP_015926824.1;
B8I2B1	khpB eloR Ccel_3487	WP_015926826.1;
B8I2B4	rnpA Ccel_3490	WP_015926829.1;
B8I2B5	rpmH Ccel_3491	WP_004619013.1;
B8I2B6	gshA Ccel_1557	WP_015925049.1;
B8I2F6	Ccel_1597	WP_015925065.1;
B8I2G2	moaC Ccel_1603	
B8I2G5	Ccel_1606	WP_015925074.1;
B8I2K6	Ccel_1648	WP_015925115.1;
B8I2L6	Ccel_1658	WP_015925125.1;
B8I2L7	Ccel_1659	WP_015925126.1;
B8I2M8	Ccel_1670	WP_015925136.1;
B8I2N2	uxuA Ccel_1674	WP_015925140.1;
B8I2N4	uxaC Ccel_1676	
B8I2Q2	hfq Ccel_1694	WP_015925160.1;
B8I2Q4	mutL Ccel_1696	WP_015925162.1;
B8I2Q5	mutS Ccel_1697	WP_015925163.1;
B8I2R6	rpsO Ccel_1708	WP_015925174.1;
B8I2S1	Ccel_1713	WP_015925179.1;
B8I2S2	Ccel_1714	WP_015925180.1;
B8I2T7	cmk Ccel_1729	WP_015925195.1;
B8I2T8	Ccel_1730	WP_015925196.1;
B8I2U7	sigI Ccel_1739	WP_015925205.1;
B8I2V4	scpB Ccel_1746	WP_015925212.1;
B8I2V5	scpA Ccel_1747	WP_015925213.1;
B8I2V7	Ccel_1749	WP_015925215.1;
B8I2V8	Ccel_1750	WP_015925216.1;
B8I2V9	xerC Ccel_1751	WP_015925217.1;
B8I2W2	rnhA Ccel_1754	WP_015925220.1;
B8I2W3	proC Ccel_1755	WP_015925221.1;
B8I2W4	Ccel_1756	WP_015925222.1;
B8I2W5	Ccel_1757	WP_015925223.1;
B8I2X9	tmcAL Ccel_1771	WP_015925237.1;
B8I2Y0	rnj Ccel_1772	WP_015925238.1;
B8I2Y7	Ccel_1779	WP_015925245.1;
B8I2Z1	Ccel_1784	WP_015925249.1;
B8I2Z7	rpoZ Ccel_1790	WP_015925255.1;
B8I2Z8	gmk Ccel_1791	
B8I302	Ccel_1795	
B8I303	prmA Ccel_1796	WP_015925261.1;
B8I305	dnaK Ccel_1798	WP_015925263.1;
