vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
2.0,0.5,0.5,2.0,1.0,-1.1798070833091434
2.0,0.5,0.5,2.0,2.154434690031884,-1.178389067300054
2.0,0.5,0.5,2.0,4.641588833612778,-1.1777285598024005
2.0,0.5,0.5,2.0,10.0,-1.1774211318308194
2.0,0.5,0.5,2.6666666666666665,1.0,-1.2307457552756103
2.0,0.5,0.5,2.6666666666666665,2.154434690031884,-1.2291424552498795
2.0,0.5,0.5,2.6666666666666665,4.641588833612778,-1.22839551705242
2.0,0.5,0.5,2.6666666666666665,10.0,-1.2280482231475842
2.0,0.5,0.5,3.333333333333333,1.0,-1.2762605186645324
2.0,0.5,0.5,3.333333333333333,2.154434690031884,-1.2744846085333004
2.0,0.5,0.5,3.333333333333333,4.641588833612778,-1.273656730857411
2.0,0.5,0.5,3.333333333333333,10.0,-1.273271689740696
2.0,0.5,0.5,4.0,1.0,-1.3173312251445126
2.0,0.5,0.5,4.0,2.154434690031884,-1.3154251453188435
2.0,0.5,0.5,4.0,4.641588833612778,-1.3145360305394522
2.0,0.5,0.5,4.0,10.0,-1.3142709934364807
2.0,0.5,0.8333333333333333,2.0,1.0,0.6646936393771877
2.0,0.5,0.8333333333333333,2.0,2.154434690031884,0.6706189964138995
2.0,0.5,0.8333333333333333,2.0,4.641588833612778,0.6733675587330938
2.0,0.5,0.8333333333333333,2.0,10.0,0.6746384657248627
2.0,0.5,0.8333333333333333,2.6666666666666665,1.0,0.5243374074792317
2.0,0.5,0.8333333333333333,2.6666666666666665,2.154434690031884,0.5322042063881196
2.0,0.5,0.8333333333333333,2.6666666666666665,4.641588833612778,0.5358660902619561
2.0,0.5,0.8333333333333333,2.6666666666666665,10.0,0.5375671007610258
2.0,0.5,0.8333333333333333,3.333333333333333,1.0,0.38362183551004647
2.0,0.5,0.8333333333333333,3.333333333333333,2.154434690031884,0.3936526777556115
