vmax_inner_option,km_inner_option,vmax_outer_option,km_outer_option,ki_option,r2
1.0,0.1,1.0,1.0,0.1,-3.267617714948778
1.0,0.1,1.0,1.0,1.0,-3.731855942658509
1.0,0.1,1.0,1.0,10.0,-3.78443029252706
1.0,0.1,1.0,3.1622776601683795,0.1,0.524699880905338
1.0,0.1,1.0,3.1622776601683795,1.0,0.26865502206369984
1.0,0.1,1.0,3.1622776601683795,10.0,0.23666950927924557
1.0,0.1,1.0,10.0,0.1,0.26848153250316664
1.0,0.1,1.0,10.0,1.0,0.4185623636083228
1.0,0.1,1.0,10.0,10.0,0.4345589665464863
1.0,0.1,3.1622776601683795,1.0,0.1,-4306.05978827497
1.0,0.1,3.1622776601683795,1.0,1.0,-4422.194514895237
1.0,0.1,3.1622776601683795,1.0,10.0,-4437.207436631253
1.0,0.1,3.1622776601683795,3.1622776601683795,0.1,-3592.6417621976298
1.0,0.1,3.1622776601683795,3.1622776601683795,1.0,-3880.092744260896
1.0,0.1,3.1622776601683795,3.1622776601683795,10.0,-3901.188717109087
1.0,0.1,3.1622776601683795,10.0,0.1,-2228.9458120847185
1.0,0.1,3.1622776601683795,10.0,1.0,-2435.254012837373
1.0,0.1,3.1622776601683795,10.0,10.0,-2466.0443175495925
1.0,0.1,10.0,1.0,0.1,-5840.900030612892
1.0,0.1,10.0,1.0,1.0,-5969.287516340942
1.0,0.1,10.0,1.0,10.0,-6014.575533730021
1.0,0.1,10.0,3.1622776601683795,0.1,-5550.67670292464
1.0,0.1,10.0,3.1622776601683795,1.0,-5765.081650933273
1.0,0.1,10.0,3.1622776601683795,10.0,-5854.881718573506
1.0,0.1,10.0,10.0,0.1,-4917.74228051451
1.0,0.1,10.0,10.0,1.0,-5226.50136364126
1.0,0.1,10.0,10.0,10.0,-5298.9087584630615
1.0,1.0,1.0,1.0,0.1,-0.2717965740813011
1.0,1.0,1.0,1.0,1.0,-0.12906802544446494
1.0,1.0,1.0,1.0,10.0,-0.11290425982584096
1.0,1.0,1.0,3.1622776601683795,0.1,-0.7738633502479855
1.0,1.0,1.0,3.1622776601683795,1.0,-0.529530463891386
1.0,1.0,1.0,3.1622776601683795,10.0,-0.4990102439116242
1.0,1.0,1.0,10.0,0.1,-1.3498362080111121
1.0,1.0,1.0,10.0,1.0,-1.1676261905375283
1.0,1.0,1.0,10.0,10.0,-1.1401111753226338
1.0,1.0,3.1622776601683795,1.0,0.1,-2828.5435588924347
1.0,1.0,3.1622776601683795,1.0,1.0,-3459.473473086737
1.0,1.0,3.1622776601683795,1.0,10.0,-3532.352711972515
1.0,1.0,3.1622776601683795,3.1622776601683795,0.1,-732.079054054407
1.0,1.0,3.1622776601683795,3.1622776601683795,1.0,-2825.5527593890943
1.0,1.0,3.1622776601683795,3.1622776601683795,10.0,-3120.980413072265
1.0,1.0,3.1622776601683795,10.0,0.1,-3.9582884124113598
1.0,1.0,3.1622776601683795,10.0,1.0,-445.16372129500564
1.0,1.0,3.1622776601683795,10.0,10.0,-926.0945811202059
1.0,1.0,10.0,1.0,0.1,-4690.043073500562
1.0,1.0,10.0,1.0,1.0,-5612.994003449646
1.0,1.0,10.0,1.0,10.0,-5782.679443289999
1.0,1.0,10.0,3.1622776601683795,0.1,-4048.682268043872
1.0,1.0,10.0,3.1622776601683795,1.0,-4887.25973696205
1.0,1.0,10.0,3.1622776601683795,10.0,-5293.836308951204
1.0,1.0,10.0,10.0,0.1,-2716.8022902832727
1.0,1.0,10.0,10.0,1.0,-4176.29865723028
1.0,1.0,10.0,10.0,10.0,-4466.671275689474
1.0,10.0,1.0,1.0,0.1,-1.5962288893286867
1.0,10.0,1.0,1.0,1.0,-1.5962288893286867
1.0,10.0,1.0,1.0,10.0,-1.5962288893286867
1.0,10.0,1.0,3.1622776601683795,0.1,-1.5962288893286867
1.0,10.0,1.0,3.1622776601683795,1.0,-1.5962288893286867
1.0,10.0,1.0,3.1622776601683795,10.0,-1.5962288893286867
1.0,10.0,1.0,10.0,0.1,-1.5962288893286867
1.0,10.0,1.0,10.0,1.0,-1.5962288893286867
1.0,10.0,1.0,10.0,10.0,-1.5962288893286867
1.0,10.0,3.1622776601683795,1.0,0.1,-1.511682702746429
1.0,10.0,3.1622776601683795,1.0,1.0,-1.438792408021
1.0,10.0,3.1622776601683795,1.0,10.0,-1.4266281363659963
1.0,10.0,3.1622776601683795,3.1622776601683795,0.1,-1.586103362532957
1.0,10.0,3.1622776601683795,3.1622776601683795,1.0,-1.5081755570061741
1.0,10.0,3.1622776601683795,3.1622776601683795,10.0,-1.4891854565768283
1.0,10.0,3.1622776601683795,10.0,0.1,-1.5962288893286867
1.0,10.0,3.1622776601683795,10.0,1.0,-1.5889201420893593
1.0,10.0,3.1622776601683795,10.0,10.0,-1.577571744452276
1.0,10.0,10.0,1.0,0.1,0.874818246017912
1.0,10.0,10.0,1.0,1.0,-137.73615773455484
1.0,10.0,10.0,1.0,10.0,-519.7763361978267
1.0,10.0,10.0,3.1622776601683795,0.1,-0.5283987025185481
1.0,10.0,10.0,3.1622776601683795,1.0,-2.276023416148464
1.0,10.0,10.0,3.1622776601683795,10.0,-51.40588846792542
1.0,10.0,10.0,10.0,0.1,-1.4094789427928287
1.0,10.0,10.0,10.0,1.0,-0.06408200564416844
1.0,10.0,10.0,10.0,10.0,0.7750399386733552
3.1622776601683795,0.1,1.0,1.0,0.1,-7.42400572601235
3.1622776601683795,0.1,1.0,1.0,1.0,-7.682203067541328
3.1622776601683795,0.1,1.0,1.0,10.0,-7.708497195556914
3.1622776601683795,0.1,1.0,3.1622776601683795,0.1,-0.5473480154161108
3.1622776601683795,0.1,1.0,3.1622776601683795,1.0,-0.714699552618568
3.1622776601683795,0.1,1.0,3.1622776601683795,10.0,-0.7323376803916044
3.1622776601683795,0.1,1.0,10.0,0.1,0.5474410668085901
3.1622776601683795,0.1,1.0,10.0,1.0,0.5934764539330253
3.1622776601683795,0.1,1.0,10.0,10.0,0.5981014079254547
3.1622776601683795,0.1,3.1622776601683795,1.0,0.1,-4702.1664799510745
3.1622776601683795,0.1,3.1622776601683795,1.0,1.0,-4760.70888201196
3.1622776601683795,0.1,3.1622776601683795,1.0,10.0,-4766.159268680202
3.1622776601683795,0.1,3.1622776601683795,3.1622776601683795,0.1,-3933.4944137396133
3.1622776601683795,0.1,3.1622776601683795,3.1622776601683795,1.0,-3998.970422836302
3.1622776601683795,0.1,3.1622776601683795,3.1622776601683795,10.0,-4005.5999747398246
3.1622776601683795,0.1,3.1622776601683795,10.0,0.1,-2459.123704399141
3.1622776601683795,0.1,3.1622776601683795,10.0,1.0,-2554.7566559493157
3.1622776601683795,0.1,3.1622776601683795,10.0,10.0,-2567.0481914091765
3.1622776601683795,0.1,10.0,1.0,0.1,-6096.777607501959
3.1622776601683795,0.1,10.0,1.0,1.0,-6132.218203204112
3.1622776601683795,0.1,10.0,1.0,10.0,-6136.082360693215
3.1622776601683795,0.1,10.0,3.1622776601683795,0.1,-5824.884597455009
3.1622776601683795,0.1,10.0,3.1622776601683795,1.0,-5889.5471173893275
3.1622776601683795,0.1,10.0,3.1622776601683795,10.0,-5896.785315311312
3.1622776601683795,0.1,10.0,10.0,0.1,-5206.74291679994
3.1622776601683795,0.1,10.0,10.0,1.0,-5299.666087853237
3.1622776601683795,0.1,10.0,10.0,10.0,-5312.419509918891
3.1622776601683795,1.0,1.0,1.0,0.1,0.5439264647084778
3.1622776601683795,1.0,1.0,1.0,1.0,0.28123220439959284
3.1622776601683795,1.0,1.0,1.0,10.0,0.24906743624319505
