origin	diff_ev	diff_ev	diff_ev	polished	polished	polished
data	message	parameters	penalty	message	parameters	penalty
0		[0.3798709  2.23482836 9.55233823 4.85941385 9.18329808]	2.5918621472629217	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.38000556 2.23436476 9.55243545 4.85959828 9.18330057]	2.5916719988722816
1		[0.50195709 3.68644078 9.69460177 3.31764892 3.66173102]	3.162241858141488	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.50511797 3.66367911 9.63370877 3.36005906 3.70195741]	3.0163220840557523
2		[0.35036657 2.19795486 9.41110101 2.65089561 6.85571108]	3.5521793133007167	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.35598368 2.16894594 9.41966081 2.75441634 6.90007295]	1.8955820245759518
3		[0.32158045 0.73902224 4.1596167  4.33875322 4.64393818]	4.270632436147577	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.18752184 0.1888305  4.29008149 4.30384578 4.64179345]	1.4907562895654274
4		[0.45470864 2.50010501 7.30293181 3.26166072 4.13505649]	4.822051526649961	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.45344037 2.49325058 7.30129569 3.26142147 4.14073324]	4.811018066146202
5		[0.35460383 1.4825284  6.41284601 2.84348342 6.23908913]	5.803374118234268	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.19789834 0.42073016 6.87631117 2.36726946 5.82621848]	1.290342347590378
6		[0.91262437 7.40241764 7.43758067 0.85813119 3.51637065]	6.431278449567559	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.90691786 7.40649122 7.4266249  0.85629226 3.51130595]	6.221623417838396
7		[0.53424852 2.23482836 5.92194077 5.4954347  2.50719523]	6.707870769113284	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.53316986 2.24810073 5.91237237 5.49894156 2.50289926]	6.443525647599816
8		[0.73869453 4.29931486 8.11391257 8.47783781 8.14875732]	7.0992873384888115	ABNORMAL_TERMINATION_IN_LNSRCH	[0.73536206 4.29567899 8.12083797 8.47764617 8.14759341]	7.050773344295677
9		[0.58903836 3.2747056  6.6296893  1.93410799 0.84588788]	7.696700289017742	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.58507989 3.30746961 6.59890907 1.95492679 0.8575517 ]	6.052188148365744
