origin	diff_ev	diff_ev	diff_ev	polished	polished	polished
data	message	parameters	penalty	message	parameters	penalty
7		[0.37765535 9.70268144 4.14494319 4.83495326]	1.4781050020490485	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.38123495 9.70245908 4.14500303 4.83493453]	1.4558449465728356
8		[0.32096688 8.87772692 6.30560223 9.84490484]	1.4813451327773874	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.32504215 8.87744426 6.30569888 9.84485302]	1.4411678026404409
5		[0.26927242 6.66320672 4.52144278 9.40084575]	1.4586011879333929	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.26706054 6.67362277 4.51814351 9.40018158]	1.4340840734700673
9		[0.42364884 9.44894307 1.97820265 7.25933469]	1.5109556227683492	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.41671586 9.4607598  1.95737707 7.24819869]	1.4299878034431182
3		[0.32555107 7.775535   2.79827026 2.41046565]	1.4489633723397988	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.32861335 7.7753821  2.79830656 2.41050575]	1.4268378374210244
2		[0.40043372 8.6996909  0.98009293 1.34714999]	1.419539579015583	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.40015578 8.69974158 0.98006953 1.34719474]	1.419414664131056
1		[0.33796062 8.20881404 3.80180456 8.57385534]	1.4111718456548743	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.33686422 8.20957234 3.80126247 8.57386986]	1.408328797883853
4		[0.36455562 8.02645656 2.13052891 8.23140388]	1.454565991086581	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.3588856  8.03492488 2.10914431 8.21996865]	1.3786283131226298
0		[0.36464151 7.858748   1.57627373 6.03518271]	1.3958625645163996	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.36103718 7.86181381 1.57224812 6.03531208]	1.3699784477846184
6		[0.37014351 7.33558874 0.46837767 9.0119408 ]	1.4725668403771877	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.36337083 7.37511825 0.45925326 9.00965743]	1.3362060006690246
