origin	diff_ev	diff_ev	diff_ev	polished	polished	polished
data	message	parameters	penalty	message	parameters	penalty
0		[0.19815795 2.88591801]	0.4026128323626505	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.1978882  2.90465501]	0.27150757956688426
1		[0.18538185 2.59952878]	0.9645047547338624	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.18722765 2.59386119]	0.2330993142422752
2		[0.15651974 1.75760551]	1.4799388322305762	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.15838775 1.75394246]	0.3824553286716839
3		[0.26095935 4.647832  ]	1.746316454051918	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.18183524 2.4366176 ]	0.22747637361757914
4		[0.35384104 7.51243788]	1.755773531215175	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.35505177 7.50512996]	1.6770302109280617
5		[0.37930248 8.18229855]	1.8987630302475984	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.18183559 2.43662732]	0.22747637307881982
6		[0.23631894 4.15464808]	2.3411720819010835	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.23998302 4.13510688]	0.6049110435289025
7		[0.40944409 8.98672058]	2.463395991369558	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.40595935 8.99808878]	2.046310178574622
8		[0.31865473 6.20010959]	4.747156954613493	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.18179992 2.43553882]	0.2274772528217836
9		[0.30204344 6.19767286]	4.783531186898632	CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH	[0.30852435 6.14068804]	1.2549937094271555
