Entry	Entry name	Protein names	Gene names	Cross-reference (RefSeq)
B8I4G1	LEUD_RUMCH	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD Ccel_0127	WP_012634581.1;
B8I8F2	UVRC_RUMCH	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC Ccel_0807	WP_015924347.1;
B8I567	UPP_RUMCH	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp Ccel_0260	WP_012634712.1;
B8I364	PDXT_RUMCH	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT Ccel_1859	WP_015925312.1;
B8I176	RL21_RUMCH	50S ribosomal protein L21	rplU Ccel_1320	WP_015924822.1;
B8I5R4	SYP_RUMCH	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS Ccel_0345	WP_012634795.1;
B8I592	SYR_RUMCH	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS Ccel_0285	WP_012634737.1;
B8I8F4	TIG_RUMCH	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig Ccel_0809	WP_015924349.1;
B8I6G6	RSMH_RUMCH	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW Ccel_0476	WP_012634920.1;
B8I169	RL20_RUMCH	50S ribosomal protein L20	rplT Ccel_1313	WP_015924815.1;
B8I5M9	RL1_RUMCH	50S ribosomal protein L1	rplA Ccel_0309	WP_012634761.1;
B8I1A2	RUVC_RUMCH	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC Ccel_1346	WP_015924848.1;
B8I5L3	PURA_RUMCH	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA Ccel_2419	WP_015925838.1;
B8I7T2	RS16_RUMCH	30S ribosomal protein S16	rpsP Ccel_0710	WP_015924257.1;
B8I2V4	SCPB_RUMCH	Segregation and condensation protein B	scpB Ccel_1746	WP_015925212.1;
B8I804	RL36_RUMCH	50S ribosomal protein L36	rpmJ Ccel_0783	WP_004620818.1;
B8I7T9	RNH2_RUMCH	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB Ccel_0717	WP_015924263.1;
B8I388	RL28_RUMCH	50S ribosomal protein L28	rpmB Ccel_1883	WP_015925336.1;
B8I7Z7	RL30_RUMCH	50S ribosomal protein L30	rpmD Ccel_0776	WP_014312126.1;
B8I5N6	RS7_RUMCH	30S ribosomal protein S7	rpsG Ccel_0316	WP_012634768.1;
B8I6D2	RS2_RUMCH	30S ribosomal protein S2	rpsB Ccel_0442	WP_012634886.1;
B8I7Z3	RS8_RUMCH	30S ribosomal protein S8	rpsH Ccel_0772	WP_015924315.1;
B8I063	FABZ_RUMCH	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ Ccel_3097	WP_015926447.1;
B8I307	HRCA_RUMCH	Heat-inducible transcription repressor HrcA	hrcA Ccel_1800	WP_015925265.1;
P37699	GUNC_RUMCH	Endoglucanase C (EC 3.2.1.4) (Cellulase C) (EGCCC) (Endo-1,4-beta-glucanase C)	celCCC Ccel_0730	WP_015924276.1;
B8I894	HSLO_RUMCH	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO Ccel_2900	WP_015926261.1;
B8I5V1	HIS8_RUMCH	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC Ccel_0383	WP_012634831.1;
B8I7D0	CINA_RUMCH	Putative competence-damage inducible protein	cinA Ccel_0674	WP_015924223.1;
B8I3E6	LEPA_RUMCH	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA Ccel_1941	WP_015925393.1;
B8I378	CRCB_RUMCH	Putative fluoride ion transporter CrcB	crcB Ccel_1873	WP_015925326.1;
B8I7A3	COBT_RUMCH	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT Ccel_0646	WP_015924196.1;
B8I4H0	COAX_RUMCH	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX Ccel_0136	WP_012634590.1;
B8I5N7	EFG_RUMCH	Elongation factor G (EF-G)	fusA Ccel_0317	WP_012634769.1;
B8I5N8	EFTU_RUMCH	Elongation factor Tu (EF-Tu)	tuf Ccel_0318	WP_012634770.1;
P37700	GUNG_RUMCH	Endoglucanase G (EC 3.2.1.4) (Cellulase G) (EGCCG) (Endo-1,4-beta-glucanase G)	celCCG Ccel_0731	WP_015924277.1;
B8I4P0	GUAA_RUMCH	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA Ccel_2202	WP_015925637.1;
B8I0R1	GSA_RUMCH	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Ccel_1280	WP_015924785.1;
B8I2Q2	HFQ_RUMCH	RNA-binding protein Hfq	hfq Ccel_1694	WP_015925160.1;
B8I941	ACCD_RUMCH	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD Ccel_0935	WP_015924458.1;
B8I359	AROB_RUMCH	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB Ccel_1854	WP_015925307.1;
B8I574	ATPL_RUMCH	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE Ccel_0267	WP_012634719.1;
B8I0I6	GLMM_RUMCH	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM Ccel_1204	WP_015924713.1;
B8I0Q8	HEM3_RUMCH	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC Ccel_1277	WP_015924782.1;
B8I5V5	HIS4_RUMCH	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA Ccel_0387	WP_012634835.1;
B8I1T7	LEU1_RUMCH	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA Ccel_3434	WP_015926774.1;
B8I799	AZOR_RUMCH	FMN-dependent NADH:quinone oxidoreductase (EC 1.6.5.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase) (FMN-dependent NADH-azoreductase) (EC 1.7.1.17)	azoR Ccel_0642	WP_015924192.1;
B8I6G5	MRAZ_RUMCH	Transcriptional regulator MraZ	mraZ Ccel_0475	WP_012634919.1;
B8I4V6	FABV_RUMCH	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)	fabV Ccel_2273	WP_015925702.1;
B8I1T8	ILVC_RUMCH	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	ilvC Ccel_3435	WP_015926775.1;
B8I6E1	ISPG_RUMCH	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG Ccel_0451	WP_012634895.1;
B8I800	KAD_RUMCH	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk Ccel_0779	WP_015924321.1;
B8I0Q1	CBID_RUMCH	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)	cbiD Ccel_1270	WP_015924775.1;
B8I944	DPES_RUMCH	D-psicose 3-epimerase (DPEase) (EC 5.1.3.30)	Ccel_0941	WP_015924461.1;
B8I4U1	ENO_RUMCH	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno Ccel_2254	WP_015925687.1;
B8I5V9	CH10_RUMCH	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)	groES groS Ccel_0391	WP_012634839.1;
B8I942	ACCA_RUMCH	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA Ccel_0936	WP_015924459.1;
B8I3A2	ARGR_RUMCH	Arginine repressor	argR Ccel_1897	WP_015925350.1;
B8I580	ATPE_RUMCH	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC Ccel_0273	WP_012634725.1;
B8I578	ATPG_RUMCH	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG Ccel_0271	WP_012634723.1;
B8I602	GATB_RUMCH	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB Ccel_2437	WP_015925856.1;
B8I0R5	COBQ_RUMCH	Cobyric acid synthase	cobQ Ccel_1284	WP_015924789.1;
B8I590	DDL_RUMCH	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl Ccel_0283	WP_012634735.1;
B8I579	ATPB_RUMCH	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD Ccel_0272	WP_012634724.1;
B8I6Q1	NTPPA_RUMCH	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)	Ccel_2565	WP_015925980.1;
B8I179	OBG_RUMCH	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg Ccel_1323	WP_015924825.1;
B8I3A3	NADK_RUMCH	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK Ccel_1898	WP_015925351.1;
B8I492	PUR5_RUMCH	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM Ccel_2183	WP_015925620.1;
B8I3R2	DNAA_RUMCH	Chromosomal replication initiator protein DnaA	dnaA Ccel_0001	WP_012634456.1;
B8I304	DNAJ_RUMCH	Chaperone protein DnaJ	dnaJ Ccel_1797	WP_015925262.1;
B8I5V6	HIS6_RUMCH	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF Ccel_0388	WP_012634836.1;
B8I5U8	HISZ_RUMCH	ATP phosphoribosyltransferase regulatory subunit	hisZ Ccel_0380	WP_012634828.1;
B8I4D3	CSRA_RUMCH	Translational regulator CsrA	csrA Ccel_0099	WP_012634553.1;
B8I255	FMT_RUMCH	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt Ccel_1529	WP_015925022.1;
B8I6H3	MURG_RUMCH	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG Ccel_0483	WP_012634927.1;
B8I3X2	NRDR_RUMCH	Transcriptional repressor NrdR	nrdR Ccel_2059	WP_015925507.1;
B8I2Z3	PANC_RUMCH	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC Ccel_1786	WP_015925251.1;
B8I6E3	RIMP_RUMCH	Ribosome maturation factor RimP	rimP Ccel_0453	WP_012634897.1;
B8I178	RL27_RUMCH	50S ribosomal protein L27	rpmA Ccel_1322	WP_015924824.1;
B8I2Q1	LEXA_RUMCH	LexA repressor (EC 3.4.21.88)	lexA Ccel_1693	WP_015925159.1;
B8I2Q5	MUTS_RUMCH	DNA mismatch repair protein MutS	mutS Ccel_1697	WP_015925163.1;
