reaction	GPR	score	normalized_score
R_13PPDH2	WP_015926678.1	223.0	0.8
R_1P2CBXLCYCL	spontaneous	0.0	0.0
R_2DHPFALDL	WP_015925252.1	327.0	1.2
R_3AIBT2	WP_015926606.1	189.0	0.7
R_3HAD100	WP_015926447.1	160.0	0.6
R_3HAD120	WP_015926447.1	160.0	0.6
R_3HAD140	WP_015926447.1	160.0	0.6
R_3HAD141	WP_015926447.1	158.0	0.6
R_3HAD80	WP_015926447.1	158.0	0.6
R_3NUCLE1	WP_015924684.1	163.0	0.6
R_3NUCLE2	WP_015924684.1	163.0	0.6
R_3NUCLE3	WP_015924684.1	163.0	0.6
R_3NUCLE4	WP_015924684.1	163.0	0.6
R_3PEPTabcpp	((WP_012634499.1 and WP_012634501.1 and WP_012634503.1) or (WP_012634499.1 and WP_012634501.1) or (WP_012634499.1 and WP_012634503.1) or (WP_012634501.1 and WP_012634503.1))	168.4	0.6
R_4HTHRS	WP_015924948.1	478.0	1.7
R_4PCPpp	WP_015926301.1	103.0	0.4
R_4PEPTabcpp	((WP_012634499.1 and WP_012634501.1 and WP_012634503.1) or (WP_012634499.1 and WP_012634503.1) or (WP_012634501.1 and WP_012634503.1) or WP_012634501.1)	167.8	0.6
R_5DGLCNR	(WP_015925139.1 or WP_015926033.1)	160.0	0.6
R_5DKGR	WP_015926033.1	160.0	0.6
R_5DOAN	WP_015924860.1	130.0	0.5
R_AAAN	(WP_015926789.1 and WP_015926790.1)	129.0	0.5
R_AADSACYCL	spontaneous	0.0	0.0
R_AALDCDLsi	spontaneous	0.0	0.0
R_ABTA	WP_015926273.1	362.0	1.3
R_ACALD	(WP_015924426.1 or WP_015926546.1)	1426.0	5.2
R_ACALDt	spontaneous	0.0	0.0
R_ACALDtpp	spontaneous	0.0	0.0
R_ACCOAC	((WP_012634588.1 and WP_015924457.1 and WP_015924459.1) or (WP_015924455.1 and WP_015924456.1 and WP_015924458.1 and WP_015924459.1) or (WP_015924457.1 and WP_015924458.1 and WP_015924459.1) or (WP_015924457.1 and WP_015924458.1) or (WP_015924457.1 and WP_015924459.1) or WP_015924457.1 or WP_015925204.1)	331.0	1.2
R_ACGK	WP_015926272.1	317.0	1.2
R_ACGS	WP_015925544.1	375.0	1.4
R_ACHBS	((WP_012634755.1 and WP_015924219.1) or (WP_012634755.1 and WP_015926776.1) or WP_012634755.1 or WP_015924219.1 or WP_015926776.1 or WP_015926777.1)	407.0	1.5
R_ACKr	WP_015925578.1	535.0	2.0
R_ACLS	((WP_012634755.1 and WP_015924219.1) or (WP_012634755.1 and WP_015926776.1) or WP_012634755.1 or WP_015924219.1 or WP_015926776.1 or WP_015926777.1)	603.0	2.2
R_ACLS_d	WP_015926789.1	271.0	1.0
R_ACLSb	WP_015926789.1	135.5	0.5
R_ACNAMt2	WP_041706401.1	140.0	0.5
R_ACOAD1	(WP_015924507.1 or WP_015925093.1)	241.0	0.9
R_ACOAD1f	(WP_015924507.1 or WP_015925093.1)	235.0	0.9
R_ACOAD1fr	(WP_015924507.1 or WP_015925075.1 or WP_242651783.1)	285.0	1.0
R_ACOAD2	WP_015925093.1	238.0	0.9
R_ACOAD20	WP_015924507.1	241.0	0.9
R_ACOAD2f	(WP_015924507.1 or WP_015925093.1)	235.0	0.9
R_ACOAD3	WP_015925093.1	238.0	0.9
R_ACOAD3f	WP_015924507.1	235.0	0.9
R_ACOAD4_1	WP_015925093.1	238.0	0.9
R_ACOAD4f	WP_015924507.1	235.0	0.9
R_ACOAD5_1	WP_015925093.1	238.0	0.9
R_ACOAD5f	WP_015924507.1	235.0	0.9
R_ACOAD6	WP_015925093.1	238.0	0.9
R_ACOAD6f	WP_015924507.1	235.0	0.9
R_ACOAD7	WP_015925093.1	238.0	0.9
R_ACOAD7f	WP_015924507.1	235.0	0.9
R_ACOAD8f	WP_015924507.1	235.0	0.9
R_ACOADH2	WP_015924507.1	241.0	0.9
R_ACODA	WP_015924541.1	226.0	0.8
R_ACONT	WP_015925613.1	927.0	3.4
R_ACONTa	WP_015925613.1	927.0	3.4
R_ACONTb	WP_015925613.1	927.0	3.4
R_ACOTA	(WP_015926273.1 or WP_015926606.1)	380.0	1.4
R_ACPPD	WP_015924192.1	276.0	1.0
R_ACS2	WP_012634938.1	772.0	2.8
R_ACSERHS	WP_012634859.1	174.0	0.6
R_ACTD2	WP_015926789.1	67.25	0.2
R_ACTD_1	WP_015924233.1	260.0	0.9
R_ACTNabc	((WP_015924387.1 and WP_015926020.1) or WP_015924663.1)	224.0	0.8
R_ACTNabc1	(WP_015924387.1 and WP_015926020.1)	70.2	0.3
R_ADAPAT	WP_015926273.1	367.0	1.3
R_ADCL	WP_015924968.1	195.0	0.7
R_ADCPS1	WP_015924791.1	239.0	0.9
R_ADCPS2	WP_015924791.1	239.0	0.9
R_ADCS	WP_015926562.1	98.0	0.4
R_ADK1	WP_015924321.1	273.0	1.0
R_ADK2	WP_015924321.1	273.0	1.0
R_ADOCBIK	WP_015924194.1	179.0	0.7
R_ADPRDP	WP_015925219.1	155.0	0.6
R_ADPRDP_1	WP_015925219.1	147.0	0.5
R_ADPT	(WP_012634860.1 or WP_015925404.1 or WP_015926445.1)	252.0	0.9
R_ADSELR	WP_015925646.1	54.5	0.2
R_ADSL1r	WP_015924269.1	638.0	2.3
R_ADSL2r	WP_015924269.1	638.0	2.3
R_ADSS	WP_015925838.1	506.0	1.8
R_AGM4PCPpp	WP_015926301.1	103.0	0.4
R_AGMT	WP_015925853.1	298.0	1.1
R_AGPOP	WP_015925984.1	651.0	2.4
